Kmstand;FzgMarke;Modell;Kraftstoff_diesel;Getriebe;Angebotsart;Preis;Leistung;Baujahr;Anzahl verkaufte Autos;
169986;Renault;Clio;Gasoline;Manual;Used;2.350,00 €;75;2011;;
173000;Skoda;Fabia;Gasoline;Manual;Used;2.350,00 €;60;2011;;
101659;Volkswagen;Fox;Gasoline;Manual;Used;2.350,00 €;60;2011;;
252996;Skoda;Citigo;CNG;Manual;Used;2.377,00 €;68;2013;;
260935;Ford;Fiesta;Diesel;Manual;Used;2.378,00 €;71;2013;;
241900;Ford;Fiesta;Diesel;Manual;Used;2.390,00 €;69;2012;;
216800;Peugeot;308;Diesel;Manual;Used;2.390,00 €;92;2011;;
175000;Fiat;Punto;Gasoline;Manual;Used;2.390,00 €;77;2011;;
98500;Chevrolet;Spark;Gasoline;Manual;Used;2.400,00 €;68;2012;;
288000;Fiat;Scudo;Diesel;Manual;Used;2.400,00 €;90;2012;;
223000;Skoda;Fabia;Gasoline;Manual;Used;2.400,00 €;69;2011;;
164000;Skoda;Fabia;Gasoline;Manual;Used;2.400,00 €;60;2014;;
124000;Citroen;C1;Gasoline;Manual;Used;2.400,00 €;68;2012;;
249739;Hyundai;i20;Diesel;Manual;Used;2.400,00 €;90;2011;;
179000;Opel;Corsa;Gasoline;Manual;Used;2.400,00 €;69;2011;;
148500;Fiat;Punto Evo;Gasoline;Manual;Used;2.400,00 €;69;2012;;
130000;Mitsubishi;Colt;Gasoline;Manual;Used;2.450,00 €;75;2011;;
262000;Renault;Twingo;Gasoline;Manual;Used;2.450,00 €;75;2012;;
65000;Renault;Twingo;Gasoline;Manual;Used;2.450,00 €;75;2011;;
250000;Opel;Zafira;Diesel;Manual;Used;2.450,00 €;110;2012;;
116000;Citroen;C1;Gasoline;Manual;Used;2.450,00 €;68;2011;;
69500;Peugeot;107;Gasoline;Manual;Used;2.450,00 €;68;2011;;
80708;Citroen;C1;Gasoline;Manual;Used;2.490,00 €;68;2011;;
117000;Peugeot;206;Gasoline;Manual;Used;2.490,00 €;73;2011;;
66000;Toyota;Aygo;Gasoline;Manual;Used;2.490,00 €;68;2012;;
208000;Ford;Ka/Ka+;Gasoline;Manual;Used;2.490,00 €;69;2014;;
81000;Volkswagen;Fox;Gasoline;Manual;Used;2.490,00 €;60;2011;;
183450;Ford;Ka/Ka+;Gasoline;Manual;Used;2.490,00 €;69;2011;;
143000;Fiat;Punto;Gasoline;Manual;Used;2.490,00 €;69;2013;;
185000;Hyundai;i10;Gasoline;Manual;Used;2.490,00 €;69;2011;;
156000;Opel;Combo;Diesel;Manual;Used;2.490,00 €;75;2011;;
138800;Hyundai;i10;Gasoline;Manual;Used;2.490,00 €;69;2012;;
99700;Peugeot;206;Gasoline;Manual;Used;2.490,00 €;60;2012;;
267700;Dacia;Logan;Gasoline;Manual;Used;2.490,00 €;84;2012;;
149000;Nissan;Micra;Gasoline;Manual;Used;2.499,00 €;65;2011;;
150000;Dacia;Logan;Gasoline;Manual;Used;2.499,00 €;84;2012;;
189000;Subaru;Forester;Diesel;Manual;Used;2.500,00 €;147;2011;;
199000;SEAT;Ibiza;Diesel;Manual;Used;2.500,00 €;75;2012;;
219000;Renault;Clio;Diesel;Manual;Used;2.500,00 €;88;2012;;
136000;smart;forTwo;Diesel;Manual;Used;2.500,00 €;54;2013;;
113685;Renault;Twingo;Gasoline;Manual;Used;2.500,00 €;58;2011;;
117500;Mitsubishi;Colt;Gasoline;Manual;Used;2.500,00 €;75;2011;;
173000;Ford;Fiesta;Gasoline;Manual;Used;2.500,00 €;60;2011;;
193000;Renault;Twingo;Gasoline;Manual;Used;2.500,00 €;75;2014;;
162000;Renault;Grand Scenic;Diesel;Manual;Used;2.500,00 €;131;2011;;
122000;Citroen;C1;Gasoline;Manual;Used;2.500,00 €;68;2011;;
101186;Renault;Clio;Gasoline;Manual;Used;2.500,00 €;75;2012;;
90000;Citroen;C1;Gasoline;Manual;Used;2.500,00 €;68;2011;;
116000;Peugeot;206;Gasoline;Manual;Used;2.550,00 €;60;2011;;
85488;Ford;Ka/Ka+;Gasoline;Manual;Used;2.550,00 €;69;2012;;
147000;Mazda;2;Gasoline;Manual;Used;2.550,00 €;84;2012;;
128300;Ford;Ka/Ka+;Gasoline;Manual;Used;2.590,00 €;69;2012;;
111900;Renault;Twingo;Gasoline;Manual;Used;2.590,00 €;75;2011;;
128831;Chevrolet;Spark;Gasoline;Manual;Used;2.599,00 €;68;2011;;
188000;Opel;Corsa;Gasoline;Manual;Used;2.599,00 €;69;2011;;
93000;Renault;Modus;Gasoline;Manual;Used;2.599,00 €;75;2012;;
161000;Renault;Clio;Gasoline;Manual;Used;2.600,00 €;75;2012;;
173600;Ford;Fiesta;Gasoline;Manual;Used;2.600,00 €;60;2011;;
150000;Renault;Twingo;Gasoline;Manual;Used;2.600,00 €;75;2011;;
149514;Ford;Ka/Ka+;Gasoline;Manual;Used;2.600,00 €;69;2012;;
70000;Renault;Clio;Gasoline;Manual;Used;2.650,00 €;58;2011;;
150000;Fiat;Punto Evo;Gasoline;Manual;Used;2.650,00 €;68;2011;;
129782;Peugeot;107;Gasoline;Manual;Used;2.650,00 €;68;2011;;
173000;Peugeot;206;Gasoline;Manual;Used;2.650,00 €;73;2011;;
136000;Fiat;Punto;CNG;Manual;Used;2.650,00 €;77;2012;;
100000;Renault;Clio;Gasoline;Manual;Used;2.650,00 €;75;2012;;
107600;Peugeot;107;Gasoline;Manual;Used;2.650,00 €;68;2011;;
42000;Suzuki;Alto;Gasoline;Manual;Used;2.650,00 €;68;2011;;
258790;Volkswagen;up!;Gasoline;Manual;Used;2.658,00 €;60;2012;;
87886;Renault;Twingo;Gasoline;Manual;Used;2.660,00 €;75;2011;;
154000;Hyundai;i10;Gasoline;Manual;Used;2.680,00 €;69;2011;;
268646;Skoda;Citigo;LPG;Manual;Used;2.688,00 €;60;2012;;
150000;Renault;Twingo;Gasoline;Manual;Used;2.690,00 €;75;2013;;
110000;Chevrolet;Spark;Gasoline;Manual;Used;2.690,00 €;68;2012;;
