AthleteID;Name;Sex;CountryID
16883;"Veniamin Yevgenyevich But";"M";18
16883;"Veniamin Yevgenyevich But";"M";18
16886;"Stepas Butautas";"M";18
16893;"Boris Ivanovich Butenko";"M";18
16907;"Aleksandr Anatolyevich Butko";"M";18
16908;"Vytautas Butkus";"M";18
16942;"Aleksey Butsenin";"M";18
16979;"Vasily Pavlovich Butusov";"M";18
17033;"Sergey Anatolyevich Bychkov";"M";18
17033;"Sergey Anatolyevich Bychkov";"M";18
17033;"Sergey Anatolyevich Bychkov";"M";18
17034;"Viktor Bychkov";"M";18
17034;"Viktor Bychkov";"M";18
17061;"Aleksandr Bykov";"M";18
17061;"Aleksandr Bykov";"M";18
17062;"Anatoly Mikhaylovich Bykov";"M";18
17062;"Anatoly Mikhaylovich Bykov";"M";18
17063;"Sergey Vladimirovich Bykov";"M";18
17065;"Viktor Nikolayevich Bykov";"M";18
17065;"Viktor Nikolayevich Bykov";"M";18
17201;"Valeriu Caceanov";"M";18
18754;"Tudor Casapu";"M";18
19350;"Jonas epulis";"M";18
19467;"Vladislavas ""Vladas"" esinas";"M";18
19490;"Avtandil Ch'k'uaseli";"M";18
19526;"Mikhail Chachba";"M";18
19526;"Mikhail Chachba";"M";18
19580;"Rakhim Ruslanovich Chakhkiyev";"M";18
19586;"Davit Gochayevich Chakvetadze";"M";18
19834;"Valery Andreyevich Chaplygin";"M";18
19834;"Valery Andreyevich Chaplygin";"M";18
20061;"Nikolay Anatolyevich Chavkin";"M";18
20065;"Aleksandr Yuryevich Chayev";"M";18
20084;"Vladimir Vasilyevich Cheboksarov";"M";18
20085;"Artyom Nikolayevich Chebotaryov";"M";18
20095;"Vyacheslav Vladimirovich Chechenev";"M";18
20132;"Revaz Chelebadze";"M";18
20144;"Andrey Ivanovich Chemerkin";"M";18
20144;"Andrey Ivanovich Chemerkin";"M";18
20348;"Vladimir Andreyevich Chendarov";"M";18
20409;"Sergey Gennadyevich Chepiga";"M";18
20420;"Igor Borisovich Cherdakov";"M";18
20424;"Yury Konstantinovich Cherednik";"M";18
20424;"Yury Konstantinovich Cherednik";"M";18
20425;"Oleksiy Valentynovych Cherednyk";"M";18
20427;"Aleksey Borisovich Cheremisinov";"M";18
20427;"Aleksey Borisovich Cheremisinov";"M";18
20427;"Aleksey Borisovich Cheremisinov";"M";18
20427;"Aleksey Borisovich Cheremisinov";"M";18
20428;"Fyodor Fyodorovich Cherenkov";"M";18
20431;"Yevhen Mykolaiovych Cherepovskiy";"M";18
20431;"Yevhen Mykolaiovych Cherepovskiy";"M";18
20431;"Yevhen Mykolaiovych Cherepovskiy";"M";18
20432;"Anatoliy Cherepovych";"M";18
20432;"Anatoliy Cherepovych";"M";18
20447;"Aleksandr Aleksandrovich Cherkasov";"M";18
20447;"Aleksandr Aleksandrovich Cherkasov";"M";18
20447;"Aleksandr Aleksandrovich Cherkasov";"M";18
20448;"Andrey Gennadyevich Cherkasov";"M";18
20448;"Andrey Gennadyevich Cherkasov";"M";18
20449;"Pavel Valentinovich Cherkasov";"M";18
20450;"Yevgeny Yevgenyevich Cherkasov";"M";18
20450;"Yevgeny Yevgenyevich Cherkasov";"M";18
20457;"Anton Viktorovich Chermashentsev";"M";18
20457;"Anton Viktorovich Chermashentsev";"M";18
20464;"Nikolay Nikolayevich Chernetsky";"M";18
20464;"Nikolay Nikolayevich Chernetsky";"M";18
20465;"Sergey Vitalyevich Chernetsky";"M";18
20468;"Ivan Yeremiyovych Cherniavskiy";"M";18
20468;"Ivan Yeremiyovych Cherniavskiy";"M";18
20470;"Valentin Chernikov";"M";18
20470;"Valentin Chernikov";"M";18
20472;"Vitaliy Ivanovych Chernobai";"M";18
20481;"Yevgeny Chernov";"M";18
20489;"Aleksandr Petrovich Chernovyanov";"M";18
20490;"Arnold Petrovich Chernushevich";"M";18
20490;"Arnold Petrovich Chernushevich";"M";18
20490;"Arnold Petrovich Chernushevich";"M";18
20490;"Arnold Petrovich Chernushevich";"M";18
20495;"Dmitry Anatolyevich Chernyshov";"M";18
20495;"Dmitry Anatolyevich Chernyshov";"M";18
20497;"Vladimir Dmitriyevich Chernyshov";"M";18
20497;"Vladimir Dmitriyevich Chernyshov";"M";18
20498;"Vyacheslav Chernyshov";"M";18
20499;"Yevgeny Vasilyevich Chernyshov";"M";18
20499;"Yevgeny Vasilyevich Chernyshov";"M";18
20518;"Yaroslav Filippovich Cherstvy";"M";18
20527;"Yury Nikolayevich Chervanyov";"M";18
20545;"Andrey Eduardovich Chesnokov";"M";18
20545;"Andrey Eduardovich Chesnokov";"M";18
20546;"Yury Borisovich Chesnokov";"M";18
20560;"Gennady Timofeyevich Chetin";"M";18
20560;"Gennady Timofeyevich Chetin";"M";18
20592;"Petro Dmytrovych Chevhun";"M";18
20596;"Georgy Ivanovich Chevychalov";"M";18
20708;"Yevgeny Aleksandrovich Chigishev";"M";18
20708;"Yevgeny Aleksandrovich Chigishev";"M";18
20718;"Parnaoz Chik'viladze";"M";18
20720;"Sergey Sergeyevich Chikalkin";"M";18
20724;"Sandro Chikhladze";"M";18
20724;"Sandro Chikhladze";"M";18
20725;"Shalva Chikhladze";"M";18
20729;"Givi Chikvanaia";"M";18
20729;"Givi Chikvanaia";"M";18
20766;"Rapael Chimishk'iani";"M";18
20819;"Mikhail Alekseyevich Chipurin";"M";18
20851;"Viktor Valentinovich Chistiakov";"M";18
20853;"Valentin Chistyakov";"M";18
20853;"Valentin Chistyakov";"M";18
20879;"Aleksandre Chivadze";"M";18
20891;"Rostislav Matveyevich Chizhikov";"M";18
20944;"Shota Chochishvili";"M";18
20944;"Shota Chochishvili";"M";18
20973;"Giorgi Chogovadze";"M";18
20973;"Giorgi Chogovadze";"M";18
21113;"Revaz Baadurovich Chomakhidze";"M";18
21113;"Revaz Baadurovich Chomakhidze";"M";18
21117;"Valdemaras Chomiius";"M";18
21382;"Nikolay Ivanovich Chuchalov";"M";18
21384;"Leonid Gennadyevich Chuchunov";"M";18
21387;"Aleksey Viktorovich Chudinov";"M";18
21399;"Anatoliy Oleksiyovych Chukanov";"M";18
21400;"Vyacheslav Mikhaylovich Chukanov";"M";18
21400;"Vyacheslav Mikhaylovich Chukanov";"M";18
21400;"Vyacheslav Mikhaylovich Chukanov";"M";18
21400;"Vyacheslav Mikhaylovich Chukanov";"M";18
21402;"Viktor Ivanovych Chukarin";"M";18
21402;"Viktor Ivanovych Chukarin";"M";18
21402;"Viktor Ivanovych Chukarin";"M";18
21402;"Viktor Ivanovych Chukarin";"M";18
21402;"Viktor Ivanovych Chukarin";"M";18
21402;"Viktor Ivanovych Chukarin";"M";18
21402;"Viktor Ivanovych Chukarin";"M";18
21402;"Viktor Ivanovych Chukarin";"M";18
21402;"Viktor Ivanovych Chukarin";"M";18
21402;"Viktor Ivanovych Chukarin";"M";18
21402;"Viktor Ivanovych Chukarin";"M";18
21402;"Viktor Ivanovych Chukarin";"M";18
21402;"Viktor Ivanovych Chukarin";"M";18
21402;"Viktor Ivanovych Chukarin";"M";18
21402;"Viktor Ivanovych Chukarin";"M";18
21402;"Viktor Ivanovych Chukarin";"M";18
21404;"Serhiy Oleksiyovych Chukhrai";"M";18
21404;"Serhiy Oleksiyovych Chukhrai";"M";18
21404;"Serhiy Oleksiyovych Chukhrai";"M";18
21409;"Yefim Aronovich Chulak";"M";18
21409;"Yefim Aronovich Chulak";"M";18
21414;"Pavel Leonidovich Chumachenko";"M";18
21414;"Pavel Leonidovich Chumachenko";"M";18
21417;"Igor Vladimirovich Chumak";"M";18
21417;"Igor Vladimirovich Chumak";"M";18
21419;"Aleksandr Aleksandrovich Chumakov";"M";18
21419;"Aleksandr Aleksandrovich Chumakov";"M";18
21420;"Sergey Chumakov";"M";18
21439;"Anton Mikhaylovich Chupkov";"M";18
21439;"Anton Mikhaylovich Chupkov";"M";18
21441;"Mykola Mykolaiovych Chupryna";"M";18
21468;"Vladimir Dorofeyevich Chuyan";"M";18
21468;"Vladimir Dorofeyevich Chuyan";"M";18
21470;"Mykola Fedorovych Chuzhykov";"M";18
21470;"Mykola Fedorovych Chuzhykov";"M";18
21580;"Antanas ikotas";"M";18
24789;"Ibrahim Pasha-ogly Dadashov";"M";18
24796;"Otar Dadunashvili";"M";18
25187;"Vladimir Konstantinovich Danich";"M";18
25187;"Vladimir Konstantinovich Danich";"M";18
25244;"Samvel Vladimirovich Danielyan";"M";18
25258;"Aleksandr Danilov";"M";18
25432;"Rinat Fayzrakhmanovich Dasayev";"M";18
25458;"Mikhail Antonovich Dasko";"M";18
25576;"Vasily Aleksandrovich Davidenko";"M";18
25751;"Nikolay Vladimirovich Davydenko";"M";18
25751;"Nikolay Vladimirovich Davydenko";"M";18
25751;"Nikolay Vladimirovich Davydenko";"M";18
25751;"Nikolay Vladimirovich Davydenko";"M";18
25751;"Nikolay Vladimirovich Davydenko";"M";18
25751;"Nikolay Vladimirovich Davydenko";"M";18
25754;"Nelson Amoiakovych Davydian";"M";18
25755;"Igor Davydov";"M";18
26071;"Georgy de Davydov";"M";18
26071;"Georgy de Davydov";"M";18
26071;"Georgy de Davydov";"M";18
26071;"Georgy de Davydov";"M";18
26654;"Pavel de Shtiglits";"M";18
26728;"Pavel de Valdayne";"M";18
26728;"Pavel de Valdayne";"M";18
26728;"Pavel de Valdayne";"M";18
26728;"Pavel de Valdayne";"M";18
26728;"Pavel de Valdayne";"M";18
27024;"Aleksandr Vladimirovich Degtyaryov";"M";18
27025;"Yegor Andreyevich Degtyaryov";"M";18
27074;"Aleksandr Alekseyevich Dekhayev";"M";18
27074;"Aleksandr Alekseyevich Dekhayev";"M";18
27094;"Yury Vsevolodovich Deksbakh";"M";18
27094;"Yury Vsevolodovich Deksbakh";"M";18
27348;"Ihor Della-Rossa";"M";18
27415;"Oleksiy Volodymyrovych Dem'ianiuk";"M";18
27424;"Andrey Yuryevich Demanov";"M";18
27454;"Viktor Dementyev";"M";18
27455;"Vladimir Vasilyevich Dementyev";"M";18
27496;"Anatoly Nikolayevich Demitkov";"M";18
27529;"Viktor Leonidovich Demyanenko";"M";18
27530;"Sergey Nikolayevich Demyashkevich";"M";18
27601;"Aleksey Alekseyevich Denisenko";"M";18
27601;"Aleksey Alekseyevich Denisenko";"M";18
27604;"Kirill Georgiyevich Denisov";"M";18
27604;"Kirill Georgiyevich Denisov";"M";18
27605;"Viktor Viktorovich Denisov";"M";18
27605;"Viktor Viktorovich Denisov";"M";18
27607;"Vladimir Gennadyevich Denisov";"M";18
27607;"Vladimir Gennadyevich Denisov";"M";18
27607;"Vladimir Gennadyevich Denisov";"M";18
27607;"Vladimir Gennadyevich Denisov";"M";18
27656;"Petro Ivanovych Denysenko";"M";18
27687;"Viktor Sergeyevich Deputatov";"M";18
27687;"Viktor Sergeyevich Deputatov";"M";18
27687;"Viktor Sergeyevich Deputatov";"M";18
27702;"Ivan Anatolyevich Derevsky";"M";18
27703;"Aleksandr Aleksandrovich Derevyagin";"M";18
27717;"Nik'oloz Deriugini";"M";18
27718;"Ivan Kostiantynovych Deriuhin";"M";18
27718;"Ivan Kostiantynovych Deriuhin";"M";18
27880;"Aleksey Desyatchikov";"M";18
27977;"Maksim Igoryevich Devyatovsky";"M";18
27977;"Maksim Igoryevich Devyatovsky";"M";18
27977;"Maksim Igoryevich Devyatovsky";"M";18
27977;"Maksim Igoryevich Devyatovsky";"M";18
27977;"Maksim Igoryevich Devyatovsky";"M";18
27977;"Maksim Igoryevich Devyatovsky";"M";18
27977;"Maksim Igoryevich Devyatovsky";"M";18
27977;"Maksim Igoryevich Devyatovsky";"M";18
27977;"Maksim Igoryevich Devyatovsky";"M";18
27977;"Maksim Igoryevich Devyatovsky";"M";18
27977;"Maksim Igoryevich Devyatovsky";"M";18
27977;"Maksim Igoryevich Devyatovsky";"M";18
27977;"Maksim Igoryevich Devyatovsky";"M";18
27977;"Maksim Igoryevich Devyatovsky";"M";18
27977;"Maksim Igoryevich Devyatovsky";"M";18
28000;"Andrey Deyev";"M";18
28000;"Andrey Deyev";"M";18
28001;"Pavel Semyonovich Deyev";"M";18
28001;"Pavel Semyonovich Deyev";"M";18
28001;"Pavel Semyonovich Deyev";"M";18
28001;"Pavel Semyonovich Deyev";"M";18
28130;"Iuri Diachk'ovi";"M";18
28321;"Timur Anatolyevich Dibirov";"M";18
